基聲旁,後期韵部,上古前後演變,上古後期魯曹雅言,聲母,等,開合,韻母,聲調,反切,廣通中古拼音,南京官話拼音,字,略註
,歌(歌0),,xʷal,曉,三,合,戈,平,許𦚢,hüö,xüe1,鞾,訓靴且同源
丂,魚,,xʀʷˤa,曉,二,合,麻,平,呼瓜,hwa,hua1,華譁,
丂,魚,,ɣʀʷˤa,匣,二,合,麻,平,戸花,xwa,hua2,華樺崋驊鷨𧑍鏵,
丂,魚,,ɣʀʷˤah,匣,二,合,麻,去,胡化,xwà,hua4,華樺崋,
丂,魚,,ɣˤa,匣,一,開,模,平,戸吳,xo,hu2,瓠,
丂,魚,,ɣˤah,匣,一,開,模,去,胡誤,xò,hu4,瓠,
丂,魚,,ɣʀʷˤah,匣,二,合,麻,去,胡化,xwà,hua4,摦,
丂,魚,,kʰˤa,溪,一,開,模,平,苦胡,kho,ku1,㢪扝刳郀挎鮬,
丂,魚,,hˤa,影,一,開,模,平,哀都,qo,u1,㢪扝洿1汚杇圬釫1盓,
丂,魚,,hˤah,影,一,開,模,去,烏路,qò,u4,汙1,
丂,魚,,kʰˤah,溪,一,開,模,去,苦故,khò,ku4,胯跨絝袴,
丂,魚,,kʰʀʷˤa,溪,二,合,麻,平,苦瓜,khwa,kua1,跨胯誇䠸夸姱,
丂,魚,,kʰʀʷˤah,溪,二,合,麻,去,苦化,khwà,kua4,跨胯,
丂,魚,,kʰʀʷˤaɣ,溪,二,合,麻,上,苦瓦,khwá,kua3,跨骻㡁(𢄳)銙,
丂,魚,,ɣˤaɣ,匣,一,開,模,上,侯古,xó,hu4,鄠𪄮洿2𡜂,
丂,魚,,ɣʀʷˤa,匣,二,合,麻,平,戸花,xwa,hua2,釫2,
丂,魚,,xˤa,曉,一,開,模,平,荒烏,ho,hu1,恗,
丂,魚,,xʀʷˤa,曉,二,合,麻,平,呼瓜,hwa,hua1,𧪮,
丂,魚,,xʷaɣ,曉,三,合,虞,上,況羽,hüó,xü3,𦀒冔,
丂,魚,,xʷa,曉,三,合,虞,平,況于,hüo,xü1,雩𦀒𠌶䩒䣿扜訏㽳盱荂𢖳旴㰭,
丂,魚,,ɣʷa,云,三,合,虞,平,羽俱,üo,ü2,䩒䣿迂雩𠌶于亏盂邘𦏴竽玗芋1汙2杅釪𧘘骬謣䢓𦱃,
丂,魚,,hʷa,影,三,合,虞,平,憶俱,qüo,ü1,䩒䣿扜迂紆陓㝼虶,
丂,魚,,hʷaɣ,影,三,合,虞,上,於武,qüó,ü3,迂,
丂,魚,,ɣʷaɣ,云,三,合,虞,上,王矩,üó,ü3,宇,
丂,魚,,ɣʷah,云,三,合,虞,去,王遇,üò,ü4,吁芋2,
丂,魚,,xʷa,曉,三,合,虞,平,況于,hüo,xü1,吁,
丂,支,,kʰʀʷɛ,溪,三,合,支B,平,去爲,khüï,kuei1,虧,
丂,魚,,sɣaɣ,邪,三,開,麻,上,徐野,zyá,sie4,䵦,
,魚,,pʰa,滂,三,合,虞,平,芳無,phüo,fu1,荂,莩之誤或訓䓏
丂,魚,,xlˤa,透,一,開,模,平,他胡,tho,tu1,樗嶀㻬㻯,
丂,魚,,tʰʀa,徹,三,開,魚,平,丑居,tchyo,chu1,樗摴㯉,
丂,魚,,ɣʀʷˤah,匣,二,合,麻,去,胡化,xwà,hua4,樗,
丂,魚,,ʀˤa,來,一,開,模,平,落胡,lo,lu2,㭔,
丂,魚,,ʀˤaɣ,來,一,開,模,上,郎古,ló,lu3,㭔,
丂,魚,,ɣˤah,匣,一,開,模,去,胡誤,xò,hu4,嫭,
丂,魚,,xʀˤah,曉,二,開,麻,去,呼訝,hrà,xa4,罅㙤,
丂,魚,,ɣˤa,匣,一,開,模,平,戸吳,xo,hu2,虖乎𠂞,
丂,魚,,xʷa,曉,三,合,虞,平,況于,hüo,xü1,虖,
丂,魚,,xˤa,曉,一,開,模,平,荒烏,ho,hu1,謼虖呼軤苸𧦝滹嘑歑,
丂,魚,,xˤah,曉,一,開,模,去,荒故,hò,hu4,謼,
丂,支,,hˤɛ,影,四,開,齊,平,烏奚,qiei,i1,䚷,
丂,支,,hˤɛɣ,影,四,開,齊,上,烏弟,qiéi,i3,䚷𠯋,
丂,支,,hˤɛh,影,四,開,齊,去,於計,qièi,i4,枍,
丂,支,,ɣˤɛ,匣,四,開,齊,平,胡雞,xiei,xi2,兮,
丂,支,,xˤɛ,曉,四,開,齊,平,呼雞,hiei,xi1,䒊[𣢍],
丂,支,,ŋˤɛ,疑,四,開,齊,平,五稽,ngiei,li2,𠆵,
丂,支,,ɣˤɛh,匣,四,開,齊,去,胡計,xièi,xi4,盻,
丂,支,,ŋˤɛh,疑,四,開,齊,去,五計,ngièi,i4,盻,
丂,之,,xˤəɣ,曉,一,開,咍,上, 呼改 ,hö́i,hä3,𣕆(橀),𣕆讀呼改待證
丂,支,,xˤɛ,曉,四,開,齊,平,呼雞,hiei,xi1,𣕆(橀)䤈(醯),名義𣕆呼奚反
丂,支,,xʀʷˤɛɣ,曉,二,合,佳,上,花夥,hwé,hua3,𢪆(扮),
丂,支,,dʀʷˤɛɣ,澄,二,合,佳,上,丈夥,dcwé,zhuä4,㧳,抑或佳買切誤抄做柱買切
丂,之,,gləh,常,三,開,之,去,時志,dzjỳ,shr4,諡(謚),玉篇時志反
丂,脂,,,船,三,開,脂A,去,神至,zjì,shr4,諡(謚),中古新加音
,拜(月1),,ɣʷɛt,云,三,合,月,入,王伐,üot,üe5,粵,古字是雩𩁹 訓越
七,質,,skʰˤøt,清,四,開,屑,入,千結,tshiet,cie5,切沏䟙,
七,質,,skʰˤøth,清,四,開,齊,去,七計,tshièi,ci4,切砌䀙𦕀,
七,物,,skʰʷˤət,清,一,合,沒,入,倉沒,tshuot,cu5,𢪃𥾛,
七,質,,skøt,精,三,開,質A,入,資悉,tsit,zi5,㲺,
七,質,,skʰøt,清,三,開,質A,入,親吉,tshit,ci5,七柒,
七,質,,skʰøth,清,三,開,脂A,去,七四,tshì,cy4,𩾔,
七,真(真0),,skʰʀønɣ,初,三,開,臻,上,初謹,tschýn,cen3,齔,
七,真(真0),,skʰʀønh,初,三,開,臻,去,初覲,tschỳn,cen4,齔,
七,質,,kʰløt,昌,三,開,質A,入,昌栗,tsjhit,chr5,叱,
郵,之,,ɣʷə,云,三,開,尤,平,羽求,yu,iou2,腄郵,郵會意 todu
丩,宵,,kˤøh,見,四,開,蕭,去,古弔,kièu,jao4,叫訆嘂,
丩,幽,,kʀˤo,見,二,開,肴,平,己(匹)交,krau,jao1,𦫶,
丩,幽,,kʀˤo,見,二,開,肴,平,古肴,krau,jao1,𦫶1,秦郊之草藥名“秦𦫶”
丩,幽,,ko,見,三,開,尤,平,居求,kyu,jou1,𦫶2,草糾纏同糾
丩,幽,,kʀˤoɣ,見,二,開,肴,上,古巧,kráu,jao3,㽱,
丩,幽,,ko,見,三,開,尤,平,居求,kyu,jou1,㽱朻,
丩,幽,,kʀo,見,三,開,幽,平,居虯,kiu,jou1,㽱朻,
丩,幽,,kʀoɣ,見,三,開,幽,上,居黝,kiú,jou3,朻糾赳,
丩,幽,,kʀo,見,三,開,幽,平,居虯,kiu,jou1,𠃚𦭺,
丩,幽,,ko,見,三,開,尤,平,居求,kyu,jou1,𠠳䡂丩,
丩,宵,,ŋˤøh,疑,四,開,蕭,去,五弔,ngièu,iao4,鼼,
丩,幽,,ŋoh,疑,三,開,尤,去,牛救,ngyù,iou4,鼼,
丩,侯,,kʀɔɣ,見,三,開,宵B,上,居夭,kyä́u,jao3,𥃧,
丩,幽,,kʰo,溪,三,開,尤,平,去秋,khyu,qou1,𰀧(惆),
丩,幽,,gʀo,群,三,開,幽,平,渠幽,giu,qou2,虯(虬)觓,
丩,幽,,gʀoh,群,三,開,幽,去,巨幼,giù,jou4,𧾻,
丩,宵,,gø,群,三,開,宵A,平,渠遙,giäu,qao2,荍,
丩,幽,,xlo,書,三,開,尤,平,式州,sjyu,shou1,收,
丩,幽,,xloh,書,三,開,尤,去,舒救,sjyù,shou4,收,
丩,侯,,kˤɔ,見,一,開,侯,平,古侯,ku,gou1,鴝𪓞軥,
丩,侯,,gɔ,群,三,合,虞,平,其俱,güo,qü2,鴝𪓞軥,
丩,侯,,kˤɔh,見,一,開,侯,去,古候,kù,gou4,軥䝭雊𢄇,
丩,侯,,xɔ,曉,三,合,虞,平,況于,hüo,xü1,欨𥈈,
丩,侯,,xɔɣ,曉,三,合,虞,上,況羽,hüó,xü3,欨煦姁喣䧁,
丩,侯,,xɔh,曉,三,合,虞,去,香句,hüò,xü4,煦姁昫,
丩,侯,,xɔ,曉,三,合,虞,平,況于,hüo,xü1,姁,
丩,侯,,gɔ,群,三,合,虞,平,其俱,güo,qü2,姁,
丩,侯,,xɔh,曉,三,合,虞,去,香句,hüò,xü4,呴,
丩,侯,,xˤɔɣ,曉,一,開,侯,上,呼后,hú,hou3,呴𤘽,
丩,侯,,xɔɣ,曉,三,合,虞,上,況羽,hüó,xü3,䧁,
